talent_id,role_id,order
nm0004960,4,2
nm0004960,3,3
nm0004967,2,1
nm0004967,5,2
nm0004967,7,3
nm0004971,2,1
nm0004971,1,2
nm0004971,7,3
nm0004975,1,1
nm0004975,4,2
nm0004975,9,3
nm0004984,4,1
nm0004984,5,2
nm0004985,2,1
nm0004985,3,2
nm0004985,22,3
nm0004988,2,1
nm0004988,7,2
nm0004988,5,3
nm0004991,2,1
nm0004991,5,2
nm0004991,6,3
nm0005003,5,1
nm0005003,2,2
nm0005003,1,3
nm0005006,4,1
nm0005006,1,2
nm0005006,5,3
nm0005024,2,1
nm0005024,1,2
nm0005024,5,3
nm0005052,2,1
nm0005052,1,2
nm0005052,7,3
nm0005056,1,1
nm0005056,2,2
nm0005056,9,3
nm0005059,2,1
nm0005059,5,2
nm0005059,1,3
nm0005062,21,1
nm0005062,7,2
nm0005062,5,3
nm0005072,4,1
nm0005072,1,2
nm0005072,5,3
nm0005082,6,1
nm0005082,5,2
nm0005082,3,3
nm0005085,2,1
nm0005085,6,2
nm0005085,5,3
nm0005092,5,1
nm0005092,2,2
nm0005092,7,3
